Stock Name,Basic Industry,Sector,Company Name
RADAAN,Media & Entertainment,Media Entertainment & Publication,Radaan Mediaworks India Limited
ECOSMOBLTY,Tour & Travel services,Consumer Services,Ecos (India) Mobility & Hospitality Limited
SIGNPOST,Advertising,Media Entertainment & Publication,Signpost India Limited
ANUHPHR,Pharmaceuticals,Healthcare,Anuh Pharma Limited
ABLBL,Retail-Department Stores,Consumer Services,Aditya Birla Lifestyle Brands Limited
SAMBHV,Iron & Steel,Metals & Mining,Sambhv Steel Tubes Limited
CHEMBONDCH,Chemicals Specialty,Chemicals,Chembond Chemical Limited
HBSL,NBFC,Financial Services,HB Stockholdings Limited
HEIDELBERG,Cement,Construction,HeidelbergCement India Limited
ASHOKAMET,Trading - Metals,Metals & Mining,Ashoka Metcast Limited
DHARMAJ,Agro chemicals,Chemicals,Dharmaj Crop Guard Limited
ALOKINDS,Textiles,Textiles,Alok Industries Limited
CARBORUNIV,Industrial Products & Manufacturing,Capital Goods,Carborundum Universal Limited
APOLSINHOT,Hotels,Consumer Services,Apollo Sindoori Hotels Limited
BLS,Diversified Commercial Services,Services,BLS International Services Limited
ARVSMART,Real Estate,Realty,Arvind SmartSpaces Limited
CINEVISTA,Media & Entertainment,Media Entertainment & Publication,Cinevista Limited
BAJAJHIND,Sugar,FMCG,Bajaj Hindusthan Sugar Limited
MAZDA,Industrial Products & Manufacturing,Capital Goods,Mazda Limited
INDIANCARD,Industrial Products & Manufacturing,Capital Goods,Indian Card Clothing Company Limited
NAHARSPING,Textiles,Textiles,Nahar Spinning Mills Limited
MMTC,Mining/Minerals,Metals & Mining,MMTC Limited
NAZARA,Software Services,Information Technology,Nazara Technologies Limited
PATINTLOG,Logistics,Services,Patel Integrated Logistics Limited
KARMAENG,Power Generation & Distribution,Power,Karma Energy Limited
VERANDA,Education Services,Consumer Services,Veranda Learning Solutions Limited
MVGJL,Jewellery,Consumer Durables,Manoj Vaibhav Gems N Jewellers Limited
EIEL,Water Supply & Management,Utilities,Enviro Infra Engineers Limited
UNIMECH,Aerospace & Defense,Capital Goods,Unimech Aerospace and Manufacturing Limited
SAATVIKGL,Electrical - Power Equipment,Capital Goods,Saatvik Green Energy Limited
20MICRONS,Chemicals Specialty,Chemicals,20 Microns Limited
CENTENKA,Textiles,Textiles,Century Enka Limited
ESTER,Chemicals-Plastics,Chemicals,Ester Industries Limited
BRIGADE,Real Estate,Realty,Brigade Enterprises Limited
KAKATCEM,Cement,Construction,Kakatiya Cement Sugar & Industries Limited
PNCINFRA,Civil Construction,Construction,PNC Infratech Limited
RVNL,Railways,Construction,Rail Vikas Nigam Limited
NITIRAJ,Industrial Products & Manufacturing,Capital Goods,Nitiraj Engineers Limited
TCIFINANCE,NBFC,Financial Services,TCI Finance Limited
SOFTTECH,Software Products,Information Technology,Softtech Engineers Limited
TRIGYN,Software Services,Information Technology,Trigyn Technologies Limited
TRF,Industrial Products & Manufacturing,Capital Goods,TRF Limited
WALCHANNAG,Civil Construction,Construction,Walchandnagar Industries Limited
WINDMACHIN,Industrial Products & Manufacturing,Capital Goods,Windsor Machines Limited
NGIL,Food Products,FMCG,Nakoda Group of Industries Limited
MKPL,Edible Oils & Solvent Extraction,FMCG,M K Proteins Limited
RANASUG,Sugar,FMCG,Rana Sugars Limited
SMARTLINK,Computer-Networking,Information Technology,Smartlink Holdings Limited
TITAGARH,Railways,Capital Goods,TITAGARH RAIL SYSTEMS LIMITED
GALAPREC,Industrial Products & Manufacturing,Capital Goods,Gala Precision Engineering Limited
DAMCAPITAL,Financial Services-Specialty,Financial Services,Dam Capital Advisors Limited
BLUSPRING,Diversified Commercial Services,Services,Bluspring Enterprises Limited
ALKALI,Chemicals Specialty,Chemicals,Alkali Metals Limited
AMBIKCO,Textiles,Textiles,Ambika Cotton Mills Limited
HITECHCORP,Packaging,Capital Goods,Hitech Corporation Limited
HEXATRADEX,Electrical Miscallaneous,Capital Goods,Hexa Tradex Limited
FOCUS,Construction Products Miscallaneous,Construction,Focus Lighting and Fixtures Limited
AGRITECH,Agro Products,FMCG,Agri-Tech (India) Limited
GTPL,TV Broadcasting & Software,Telecommunication,GTPL Hathway Limited
NINSYS,Software Services,Information Technology,NINtec Systems Limited
MANAKSIA,Metal Fabrication,Metals & Mining,Manaksia Limited
PANACEABIO,Pharmaceuticals,Healthcare,Panacea Biotec Limited
RELAXO,Footwear,Consumer Durables,Relaxo Footwears Limited
KAMATHOTEL,Hotels,Consumer Services,Kamat Hotels (I) Limited
POLYMED,Medical Equipment & Supplies,Healthcare,Poly Medicure Limited
TFL,NBFC,Financial Services,Transwarranty Finance Limited
VIRINCHI,Software Products,Information Technology,Virinchi Limited
PALASHSECU,Real Estate,Realty,Palash Securities Limited
TIMETECHNO,Chemicals-Plastics,Chemicals,Time Technoplast Limited
IREDA,NBFC,Financial Services,Indian Renewable Energy Development Agency Limited
SONAMLTD,Household Appliances,Consumer Durables,SONAM LIMITED
